10月,10月,
11月,11月,
12月,12月,
13-digit corporate number,13桁の法人番号,
1月,1月,
1月目 報酬額,1月目 報酬額,
1月目 支払基礎日数,1月目 支払基礎日数,
2月,2月,
2月目 報酬額,2月目 報酬額,
2月目 支払基礎日数,2月目 支払基礎日数,
36協定,36協定,
36協定・時間外管理,36協定・時間外管理,
3月,3月,
3月目 報酬額,3月目 報酬額,
3月目 支払基礎日数,3月目 支払基礎日数,
4月,4月,
5月,5月,
6月,6月,
7月,7月,
8月,8月,
9月,9月,
About,概要,
Accounts Manager,Accounts Manager,
Accounts User,Accounts User,
Acknowledged,確認済,
Action Configuration,アクション設定,
Action Name,アクション名,
Action Type,アクション種類,
Active,有効,
Amount,金額,
Amount above which higher rate applies,高税率が適用される金額,
API Key,API Key,
APP-.#####,APP-.#####,
Application Template,届出テンプレート,
Applied,適用済,
Approve,承認,
Approved,承認済,
Auth Credentials,認証情報,
Authentication,認証,
Authorization & Approval,承認・決裁,
Authorization Rule,承認ルール,
Auth Type,認証タイプ,
Basic Auth,ベーシック認証,
Bearer Token,ベアラートークン,
BPM,BPM,
BPM Action,BPMアクション,
BPM Action Log,BPMアクションログ,
BPM Settings,BPM設定,
Calculated,計算済,
Cancel,キャンセル,
Cancelled,キャンセル済,
Company Registration Number (法人番号),法人番号,
Complete,完了処理,
Completed,完了,
Condition (Python),条件（Python）,
Confirm,確認,
Confirmed,確認済,
Convert,変換,
Converted,変換済,
Custom Script,カスタムスクリプト,
Default Tax Rate (%),デフォルト税率（%）,
Default Timeout (seconds),デフォルトタイムアウト（秒）,
Description,説明,
Digital Certificate Path,電子証明書パス,
Disqualify,不適格,
Document Type,Document種類,
Draft,下書き,
E-Invoice Format,電子インボイス形式,
E-Invoice (電子インボイス),電子インボイス,
Enable Automation,自動化を有効化,
Enabled,有効,
Enable E-Invoice,電子インボイスを有効化,
Error Message,エラーメッセージ,
Escalate to Director,部長にエスカレーション,
Escalate to Executive,役員にエスカレーション,
Executed At,実行日時,
Executed By,実行者,
Execution Details,実行詳細,
Execution Settings,実行設定,
Execution Time (seconds),実行時間（秒）,
Failed,失敗,
Frappe API,Frappe API,
Frappe Support,Frappeサポート,
General Affairs,総務,
General Application,各種届出,
General Application Approval,各種届出承認,
GET,GET,
Gross Amount (支払金額),支払金額,
Headers (JSON),ヘッダー（JSON）,
HTTP Method,HTTPメソッド,
Income Type (所得区分),所得区分,
In Progress,処理中,
Invoice Settings,インボイス設定,
IPアドレス,IPアドレス,
JP Accounting,日本会計,
JP HR,JP HR,
JP HR Settings,日本向けHR設定,
JP Invoice Settings,日本インボイス設定,
JP PINT,JP PINT,
Keyboard Shortcuts,キーボードショートカット,
Labor Insurance Record,労働保険記録,
Leave empty to trigger from any previous state,空欄の場合すべての前状態からトリガー,
Legal Reviewer,法務担当,
LI-REC-.#####,LI-REC-.#####,
Log out,ログアウト,
Log Retention Days,ログ保持日数,
Lost,失注,
Mark as Lost,失注にする,
Max Retry Count,最大リトライ回数,
MN-.#####,MN-.#####,
MN-LOG-.#####,MN-LOG-.#####,
My Number Access Log,マイナンバーアクセスログ,
My Number Record,マイナンバー記録,
n8n API Key,n8n APIキー,
n8n Base URL,n8n ベースURL,
n8n Integration,n8n連携,
n8n Workflow,n8nワークフロー,
Naming Series,採番シリーズ,
Net Amount (差引支払額),差引支払額,
None,なし,
Open,未対応,
OT-ALERT-.#####,OT-ALERT-.#####,
Overtime Agreement,36協定,
Overtime Alert Log,時間外労働アラート,
Paid,支払済,
Pass Budget Check,予算チェック通過,
PATCH,PATCH,
Payee Name (支払先),支払先,
Payment Date,支払日,
Pending,保留中,
Pending Budget Check,予算チェック待ち,
Pending Department Head Approval,部門長承認待ち,
Pending Director Approval,部長承認待ち,
Pending Executive Approval,役員承認待ち,
Pending General Affairs,総務対応待ち,
Pending HR Review,人事確認待ち,
Pending Legal Review,法務確認待ち,
Pending Manager Approval,マネージャー承認待ち,
Pending Review,レビュー待ち,
Pending Supervisor Approval,上長承認待ち,
Peppol BIS,Peppol BIS,
POST,POST,
Previous State,前の状態,
Process Automation,プロセス自動化,
PUT,PUT,
Python expression using doc variable. e.g. doc.grand_total > 10000000,doc変数を使ったPython式。例: doc.grand_total > 10000000,
Qualified,適格,
Qualified Invoice Issuer Number (適格請求書発行事業者番号),適格請求書発行事業者番号,
Qualify,適格にする,
Reduced rate for food/beverages,飲食料品の軽減税率,
Reduced Tax Rate (%),軽減税率（%）,
Reference DocType,参照DocType,
Reference Name,参照名,
Reject,却下,
Rejected,却下,
REM-CALC-.#####,REM-CALC-.#####,
Remuneration Calculation,算定基礎届,
Request,リクエスト,
Request Body,リクエストボディ,
Request Body Template (Jinja),リクエストボディテンプレート（Jinja）,
Request Changes,修正依頼,
Request URL,リクエストURL,
Resident Tax,住民税,
Resident Tax Monthly,住民税月額明細,
Resolved,解決済,
Response,レスポンス,
Response Body,レスポンスボディ,
Response Code,レスポンスコード,
RES-TAX-.#####,RES-TAX-.#####,
Retry Attempt,リトライ試行,
Retry Count,リトライ回数,
Retrying,リトライ中,
Return,差戻,
Returned,差戻し,
Ringi,稟議,
RINGI-.#####,RINGI-.#####,
Ringi Approval,稟議承認,
Ringi Approver,稟議承認者,
Ringi Template,稟議テンプレート,
Ringi Template Approver,稟議テンプレート承認者,
Rule Name,ルール名,
Run in Background,バックグラウンドで実行,
SEAL-.#####,SEAL-.#####,
Seal Request,押印申請,
Seal Request Approval,押印申請承認,
Series,連番,
Settings,設定,
SI-REC-.#####,SI-REC-.#####,
SMR-.#####,SMR-.#####,
Social Insurance Rate,社会保険料率テーブル,
Social Insurance Record,社会保険資格記録,
Standard consumption tax rate,標準消費税率,
Standard Monthly Remuneration,標準報酬月額,
Status,ステータス,
Submit for Approval,承認申請,
Submit for Budget Check,予算チェックに提出,
Submit for Review,レビューに提出,
Submitted,提出済,
Success,成功,
System Health,システムヘルス,
System Manager,システム管理者,
T + 13-digit number for Invoice System (インボイス制度),インボイス制度用 T＋13桁番号,
Tax Amount (源泉徴収税額),源泉徴収税額,
Tax Rate (%),税率（%）,
Threshold Amount (円),基準金額（円）,
Timeout (seconds),タイムアウト（秒）,
Unqualified,不適格,
URL,URL,
Use {{ doc }} variable to access the document fields,{{ doc }} 変数でドキュメントフィールドにアクセス,
User Settings,ユーザー設定,
Webhook,Webhook,
WHT-.YYYY.-,WHT-.YYYY.-,
Withholding Tax,源泉徴収税,
Withholding Tax Entry,源泉徴収税エントリ,
Withholding tax rate,源泉徴収税率,
Withholding Tax Rule,源泉徴収税ルール,
Withholding Tax Table,源泉徴収税額表,
Workflow,ワークフロー,
Workflow Action Master,ワークフローアクションマスタ,
Workflow Management,ワークフロー管理,
Workflow State,ワークフロー状態,
Year End Adjustment,年末調整,
